,c1,c2,per,but,fuc,hex,neo,pra,vio,ddx,all,dtx,lut,zea,b
diatoms,0.093636355,0.077612289,0,0,0.580115473,0,0.000693637,0.000321326,0.00127674,0.102597615,0,0.04125501,0.000490865,0.005599361,0.002720789
dinoflagellates,0.006354316,0.31769025,0.616735609,0,0.0003292,0,0.00551656,0,0.003536205,0.128156134,0.003149797,0.003748239,0,0.002379122,0.002023373
cyanobacteria,0.000386332,0,0,0,0,0,0.000283367,0.000943811,0,0,0,0,0,0.140886562,0.002165778
Prasiophyceae,0.000294031,0,0,0,0,0,0.05249692,0,0.064313895,0,0,0,0.065530011,0.003330399,0.500779765
chlorophyceae,0.000431419,0,0.000157768,0,0,0.0004456,0.05232239,0,0.04695962,0,0.000222451,0,0.149239089,0.003348926,0.277546489
Cryptophyceae,0.003151945,0.12051223,0,0,0,0,0,0,0,0,0.256903913,0.004186229,0,0.000354924,0
Prymnesiophyceae_A,0.077607921,0.063569642,0.000464607,0,0.417457235,0,0,0.000128538,0.001329075,0.157387366,0,0.017964851,0.000263473,0.000309635,0
Prymnesiophyceae_B,0,0,0,0.175,0.412,0.49,0,0,0,0.243,0,0.09,0,0,0
Raphidophyceae,0.041420674,0.071019441,0,0,0.390133803,0,0,0,0.117025355,0,0,0,0,0.018897686,0
Eustigmatophyceae,0.000500677,0,0,0,0,0.2469,0.084145093,0,0.045344231,0,0,0.000115175,0.200419121,0.01077607,0.346108715
Chrysophyceae,0,0.127,0,0.773,0.543,0,0,0,0,0.438,0,0.051,0,0,0
Euglenophyceae,0,0,0,0,0,0,0.077,0,0,0.086,0,0.058,0.022,0.02,0.858
